time,milk,no_milk
345,0.992903728,0.825453873
345.5,0.997872906,0.825453873
346,0.997872906,0.830422745
346.5,0.992903728,0.815516129
347,0.997872906,0.835391617
347.5,0.992903728,0.820485001
348,0.997872906,0.815516129
348.5,0.992903728,0.815516129
349,1.00781126,0.825453873
349.5,0.987934551,0.815516129
350,0.992903728,0.820485001
350.5,0.997872906,0.825453873
351,0.987934551,0.815516129
351.5,0.992903728,0.825453873
352,0.982965374,0.825453873
352.5,0.992903728,0.830422745
353,0.992903728,0.830422745
353.5,0.992903728,0.820485001
354,0.992903728,0.830422745
354.5,0.987934551,0.820485001
355,0.997872906,0.830422745
355.5,0.997872906,0.840360489
356,0.997872906,0.825453873
356.5,0.997872906,0.825453873
357,0.997872906,0.835391617
357.5,1.002842083,0.835391617
358,1.002842083,0.830422745
358.5,0.992903728,0.825453873
359,1.002842083,0.835391617
359.5,1.002842083,0.835391617
360,0.997872906,0.835391617
360.5,1.002842083,0.840360489
361,1.002842083,0.835391617
361.5,0.997872906,0.840360489
362,0.997872906,0.830422745
362.5,0.997872906,0.835391617
363,0.997872906,0.830422745
363.5,1.00781126,0.840360489
364,1.00781126,0.840360489
364.5,1.00781126,0.840360489
365,1.002842083,0.845329361
365.5,1.012780437,0.850298233
366,1.012780437,0.835391617
366.5,1.002842083,0.840360489
367,0.997872906,0.830422745
367.5,1.00781126,0.840360489
368,1.00781126,0.840360489
368.5,1.00781126,0.850298233
369,1.012780437,0.835391617
369.5,1.00781126,0.850298233
370,1.002842083,0.840360489
370.5,1.00781126,0.845329361
371,1.012780437,0.845329361
371.5,1.012780437,0.845329361
372,1.012780437,0.840360489
372.5,0.997872906,0.840360489
373,1.00781126,0.845329361
373.5,1.012780437,0.845329361
374,1.017749615,0.855267105
374.5,1.00781126,0.850298233
375,1.012780437,0.850298233
375.5,1.012780437,0.845329361
376,1.017749615,0.860235977
376.5,1.00781126,0.850298233
377,1.00781126,0.850298233
377.5,1.012780437,0.855267105
378,1.002842083,0.845329361
378.5,1.00781126,0.840360489
379,1.00781126,0.845329361
379.5,1.022718792,0.865204849
380,1.017749615,0.860235977
380.5,1.012780437,0.850298233
381,1.017749615,0.855267105
381.5,1.017749615,0.850298233
382,1.017749615,0.860235977
382.5,1.00781126,0.855267105
383,1.017749615,0.845329361
383.5,1.017749615,0.860235977
384,1.00781126,0.845329361
384.5,1.012780437,0.860235977
385,1.00781126,0.855267105
385.5,1.022718792,0.855267105
386,1.012780437,0.855267105
386.5,1.017749615,0.850298233
387,1.017749615,0.855267105
387.5,1.017749615,0.860235977
388,1.022718792,0.850298233
388.5,1.027687969,0.870173721
389,1.027687969,0.855267105
389.5,1.017749615,0.855267105
390,1.017749615,0.860235977
390.5,1.022718792,0.855267105
391,1.017749615,0.860235977
391.5,1.017749615,0.855267105
392,1.012780437,0.850298233
392.5,1.022718792,0.865204849
393,1.022718792,0.860235977
393.5,1.022718792,0.860235977
394,1.012780437,0.865204849
394.5,1.017749615,0.860235977
395,1.022718792,0.860235977
395.5,1.022718792,0.865204849
396,1.022718792,0.870173721
396.5,1.022718792,0.865204849
397,1.027687969,0.865204849
397.5,1.027687969,0.870173721
398,1.027687969,0.870173721
398.5,1.027687969,0.870173721
399,1.017749615,0.860235977
399.5,1.022718792,0.860235977
400,1.032657146,0.875142593
400.5,1.027687969,0.875142593
401,1.027687969,0.860235977
401.5,1.022718792,0.865204849
402,1.022718792,0.860235977
402.5,1.022718792,0.865204849
403,1.027687969,0.870173721
403.5,1.027687969,0.870173721
404,1.022718792,0.860235977
404.5,1.017749615,0.860235977
405,1.032657146,0.870173721
405.5,1.027687969,0.875142593
406,1.032657146,0.870173721
406.5,1.027687969,0.875142593
407,1.027687969,0.870173721
407.5,1.027687969,0.875142593
408,1.022718792,0.865204849
408.5,1.022718792,0.880111465
409,1.027687969,0.870173721
409.5,1.017749615,0.865204849
410,1.027687969,0.860235977
410.5,1.032657146,0.875142593
411,1.032657146,0.875142593
411.5,1.022718792,0.865204849
412,1.022718792,0.870173721
412.5,1.022718792,0.865204849
413,1.032657146,0.880111465
413.5,1.032657146,0.880111465
414,1.037626324,0.875142593
414.5,1.037626324,0.885080338
415,1.032657146,0.880111465
415.5,1.032657146,0.880111465
416,1.037626324,0.89004921
416.5,1.037626324,0.885080338
417,1.042595501,0.885080338
417.5,1.037626324,0.880111465
418,1.032657146,0.895018082
418.5,1.032657146,0.885080338
419,1.037626324,0.880111465
419.5,1.032657146,0.875142593
420,1.032657146,0.880111465
420.5,1.032657146,0.880111465
421,1.042595501,0.885080338
421.5,1.037626324,0.880111465
422,1.032657146,0.880111465
422.5,1.032657146,0.885080338
423,1.037626324,0.895018082
423.5,1.032657146,0.885080338
424,1.047564678,0.89004921
424.5,1.037626324,0.89004921
425,1.032657146,0.885080338
425.5,1.027687969,0.885080338
426,1.042595501,0.895018082
426.5,1.042595501,0.89004921
427,1.032657146,0.89004921
427.5,1.042595501,0.885080338
428,1.052533855,0.89004921
428.5,1.042595501,0.885080338
429,1.037626324,0.89004921
429.5,1.047564678,0.895018082
430,1.037626324,0.89004921
430.5,1.037626324,0.885080338
431,1.037626324,0.89004921
431.5,1.037626324,0.895018082
432,1.032657146,0.885080338
432.5,1.047564678,0.895018082
433,1.037626324,0.895018082
433.5,1.047564678,0.904955826
434,1.042595501,0.899986954
434.5,1.047564678,0.904955826
435,1.047564678,0.899986954
435.5,1.042595501,0.899986954
436,1.047564678,0.895018082
436.5,1.037626324,0.89004921
437,1.047564678,0.904955826
437.5,1.047564678,0.899986954
438,1.047564678,0.899986954
438.5,1.042595501,0.899986954
439,1.047564678,0.904955826
439.5,1.042595501,0.899986954
440,1.052533855,0.904955826
440.5,1.042595501,0.904955826
441,1.042595501,0.904955826
441.5,1.042595501,0.899986954
442,1.047564678,0.904955826
442.5,1.037626324,0.895018082
443,1.047564678,0.904955826
443.5,1.057503033,0.904955826
444,1.047564678,0.909924698
444.5,1.052533855,0.909924698
445,1.052533855,0.899986954
445.5,1.052533855,0.904955826
446,1.057503033,0.91489357
446.5,1.042595501,0.899986954
447,1.052533855,0.899986954
447.5,1.052533855,0.909924698
448,1.057503033,0.909924698
448.5,1.042595501,0.904955826
449,1.057503033,0.91489357
449.5,1.057503033,0.909924698
450,1.06247221,0.91489357
450.5,1.057503033,0.909924698
451,1.047564678,0.909924698
451.5,1.047564678,0.909924698
452,1.067441387,0.91489357
452.5,1.052533855,0.91489357
453,1.052533855,0.91489357
453.5,1.052533855,0.91489357
454,1.06247221,0.919862442
454.5,1.057503033,0.91489357
455,1.057503033,0.909924698
455.5,1.06247221,0.909924698
456,1.052533855,0.909924698
456.5,1.06247221,0.919862442
457,1.06247221,0.91489357
457.5,1.057503033,0.919862442
458,1.067441387,0.919862442
458.5,1.067441387,0.924831314
459,1.06247221,0.919862442
459.5,1.06247221,0.919862442
460,1.06247221,0.91489357
460.5,1.06247221,0.924831314
461,1.057503033,0.924831314
461.5,1.06247221,0.924831314
462,1.06247221,0.929800186
462.5,1.072410564,0.929800186
463,1.06247221,0.924831314
463.5,1.072410564,0.924831314
464,1.06247221,0.91489357
